ubid,activity_status,confidence_pct,score,last_signal_date,terminal,sources_active,evidence_json
UBID-KA-000011,CLOSED,98,-999.0,2024-09-07,True,[],"[{""event"": ""LICENCE_SURRENDER"", ""source"": ""BBMP"", ""date"": ""2024-09-07"", ""weight"": ""TERMINAL"", ""contribution"": ""CLOSED override""}]"
UBID-KA-000012,DORMANT,40,0.0,,False,[],[]
UBID-KA-000013,ACTIVE,95,47.37,2026-05-01,False,"[""BBMP"", ""ESCOM""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-02-21"", ""days_ago"": 74, ""base_weight"": 8, ""decayed_weight"": 6.02}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-10-03"", ""days_ago"": 215, ""base_weight"": 10, ""decayed_weight"": 0.83}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-09-03"", ""days_ago"": 245, ""base_weight"": 10, ""decayed_weight"": 0.59}]"
UBID-KA-000014,ACTIVE,67,7.27,2026-04-11,False,"[""BBMP""]","[{""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-04-11"", ""days_ago"": 25, ""base_weight"": 8, ""decayed_weight"": 7.27}]"
UBID-KA-000015,ACTIVE,95,60.63,2026-05-01,False,"[""BBMP"", ""ESCOM"", ""LABOUR""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-04-18"", ""days_ago"": 18, ""base_weight"": 8, ""decayed_weight"": 7.46}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2026-02-06"", ""days_ago"": 89, ""base_weight"": 7, ""decayed_weight"": 4.19}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-11-12"", ""days_ago"": 175, ""base_weight"": 7, ""decayed_weight"": 2.55}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}]"
UBID-KA-000016,ACTIVE,95,46.27,2026-05-01,False,"[""BBMP"", ""ESCOM""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-01-11"", ""days_ago"": 115, ""base_weight"": 8, ""decayed_weight"": 5.14}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-10-03"", ""days_ago"": 215, ""base_weight"": 10, ""decayed_weight"": 0.83}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-09-03"", ""days_ago"": 245, ""base_weight"": 10, ""decayed_weight"": 0.59}]"
UBID-KA-000017,ACTIVE,95,56.49,2026-05-01,False,"[""BBMP"", ""ESCOM"", ""LABOUR""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2026-02-08"", ""days_ago"": 87, ""base_weight"": 7, ""decayed_weight"": 4.24}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2025-11-27"", ""days_ago"": 160, ""base_weight"": 8, ""decayed_weight"": 4.32}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 7, ""decayed_weight"": 2.4}]"
UBID-KA-000018,ACTIVE,95,62.12,2026-05-01,False,"[""BBMP"", ""FACTORIES"", ""ESCOM"", ""LABOUR""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2026-02-12"", ""days_ago"": 83, ""base_weight"": 7, ""decayed_weight"": 4.33}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-01-18"", ""days_ago"": 108, ""base_weight"": 8, ""decayed_weight"": 5.28}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-11-07"", ""days_ago"": 180, ""base_weight"": 7, ""decayed_weight"": 2.48}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}]"
UBID-KA-000019,DORMANT,69,2.45,2025-08-15,False,"[""LABOUR""]","[{""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-08-15"", ""days_ago"": 264, ""base_weight"": 7, ""decayed_weight"": 1.52}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-05-20"", ""days_ago"": 351, ""base_weight"": 7, ""decayed_weight"": 0.92}]"
UBID-KA-000020,ACTIVE,95,45.48,2026-05-01,False,"[""BBMP"", ""ESCOM""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2025-12-08"", ""days_ago"": 149, ""base_weight"": 8, ""decayed_weight"": 4.51}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-10-03"", ""days_ago"": 215, ""base_weight"": 10, ""decayed_weight"": 0.83}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-09-03"", ""days_ago"": 245, ""base_weight"": 10, ""decayed_weight"": 0.59}]"
UBID-KA-000021,ACTIVE,95,59.92,2026-05-01,False,"[""BBMP"", ""ESCOM"", ""LABOUR""]","[{""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-05-01"", ""days_ago"": 5, ""base_weight"": 10, ""decayed_weight"": 9.44}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-04-01"", ""days_ago"": 35, ""base_weight"": 10, ""decayed_weight"": 6.67}, {""event"": ""LICENCE_RENEWAL"", ""source"": ""BBMP"", ""date"": ""2026-03-31"", ""days_ago"": 36, ""base_weight"": 8, ""decayed_weight"": 6.96}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-03-02"", ""days_ago"": 65, ""base_weight"": 10, ""decayed_weight"": 4.72}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2026-02-02"", ""days_ago"": 93, ""base_weight"": 7, ""decayed_weight"": 4.09}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-31"", ""days_ago"": 95, ""base_weight"": 10, ""decayed_weight"": 3.34}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2026-01-01"", ""days_ago"": 125, ""base_weight"": 10, ""decayed_weight"": 2.36}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-12-02"", ""days_ago"": 155, ""base_weight"": 10, ""decayed_weight"": 1.67}, {""event"": ""PF_FILING"", ""source"": ""LABOUR"", ""date"": ""2025-11-15"", ""days_ago"": 172, ""base_weight"": 7, ""decayed_weight"": 2.59}, {""event"": ""ELECTRICITY_READING"", ""source"": ""ESCOM"", ""date"": ""2025-11-02"", ""days_ago"": 185, ""base_weight"": 10, ""decayed_weight"": 1.18}]"
