unique_id,business_name,address,pin_code,pan,gstin,source_system,name_norm,addr_norm,pan_valid,gstin_valid,pan_clean,gstin_clean
BBMP/560100/0054,National Pharmaceuticals Limited,"267/3, Factory Road, Electronic City Phase 2, Bengaluru, 560100",560100,BYRHG7884M,,BBMP,limited national pharmaceuticals,"267 3, factory road, electronic city phase 2, bangalore, 560100",True,False,BYRHG7884M,
BBMP/560100/0055,National Beverages Factory,"720/6, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",560100,DDEFG5605Q,,BBMP,beverages factory national,"720 6, 1st cross, electronic city phase 1, bangalore, bangalore",True,False,DDEFG5605Q,
BBMP/560100/0056,Leather Infosys Ltd,"277/9, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,,,BBMP,infosys leather limited,"277 9, 3rd main, electronic city phase 2, bangalore, 560100",False,False,,
BBMP/560100/0058,JSW Ceramics Traders,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,VRUCA8003B,29VRUCA8003B2ZK,BBMP,ceramics jsw traders,"industrial road, neeladri nagar, bangalore, 560100",True,True,VRUCA8003B,29VRUCA8003B2ZK
BBMP/560058/0059,JSW Ceramics Private Limited,"Main Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,ECBAI8788O,29ECBAI8788O6ZK,BBMP,ceramics jsw limited private,"main road, peenya 2nd stage, bangalore, bangalore",True,True,ECBAI8788O,29ECBAI8788O6ZK
BBMP/560058/0060,Sunrise Plastics Co,"Industrial Road, Peenya Industrial Area, Bengaluru, 560058",560058,BDRHW2159P,,BBMP,company plastics sunrise,"industrial road, peenya industrial area, bangalore, 560058",True,False,BDRHW2159P,
BBMP/560100/0062,JSW Cables & Co,"195/8, 3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,LYSCG4245Z,29LYSCG4245Z3Z8,BBMP,cables company jsw,"195 8, 3rd main, electronic city phase 2, bangalore, 560100",True,True,LYSCG4245Z,29LYSCG4245Z3Z8
BBMP/560100/0063,Modern Pumps & Co,"759/2, Factory Road, Hosur Road, Bengaluru, B'lore",560100,NDFCX5498G,29NDFCX5498G6ZT,BBMP,company modern pumps,"759 2, factory road, hosur road, bangalore, bangalore",True,True,NDFCX5498G,29NDFCX5498G6ZT
BBMP/560058/0064,Steel Wipro Pvt Ltd,"Service Road, Peenya 1st Stage, Bengaluru, B'lore",560058,,,BBMP,limited private steel wipro,"service road, peenya 1st stage, bangalore, bangalore",False,False,,
BBMP/560100/0069,Garments Peoples Manufacturers,"Factory Road, Hosur Road, Bengaluru, 560100",560100,DXHCH9984T,29DXHCH9984T1Z7,BBMP,garments manufacturers peoples,"factory road, hosur road, bangalore, 560100",True,True,DXHCH9984T,29DXHCH9984T1Z7
BBMP/560058/0070,Packaging National P Ltd,"747/9, Industrial Road, Peenya 1st Stage, Bengaluru, B'lore",560058,JHPAV8101V,29JHPAV8101V4ZZ,BBMP,limited national packaging private,"747 9, industrial road, peenya 1st stage, bangalore, bangalore",True,True,JHPAV8101V,29JHPAV8101V4ZZ
BBMP/560100/0072,Karnataka Electricals Corporation,"Ring Road, Neeladri Nagar, Bengaluru, 560100",560100,WUOFJ1069M,29WUOFJ1069M9ZS,BBMP,corporation electricals karnataka,"ring road, neeladri nagar, bangalore, 560100",True,True,WUOFJ1069M,29WUOFJ1069M9ZS
BBMP/560100/0074,Indian Eng Mfr,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,EYMPE4758W,,BBMP,engineering indian manufacturer,"industrial road, neeladri nagar, bangalore, 560100",True,False,EYMPE4758W,
BBMP/560058/0075,Valves KS Mfrs,"Factory Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,AGCHY1961Z,,BBMP,ks manufacturers valves,"factory road, rajajinagar industrial estate, bangalore, bangalore",True,False,AGCHY1961Z,
BBMP/560058/0076,Mahalaxmi Furniture Factory,"1st Cross, Peenya, Bengaluru, 560058",560058,BOIHE6611Z,29BOIHE6611Z7Z5,BBMP,factory furniture mahalaxmi,"1st cross, peenya, bangalore, 560058",True,True,BOIHE6611Z,29BOIHE6611Z7Z5
BBMP/560100/0077,Bengaluru Rubber Traders,"781/1, Factory Road, Hosur Road, Bengaluru, 560100",560100,VVVPO8466C,,BBMP,bangalore rubber traders,"781 1, factory road, hosur road, bangalore, 560100",True,False,VVVPO8466C,
BBMP/560100/0078,Chemicals Modern Co,"880/1, 1st Cross, Hosur Road, Bengaluru, 560100",560100,,,BBMP,chemicals company modern,"880 1, 1st cross, hosur road, bangalore, 560100",False,False,,
BBMP/560058/0079,New Textiles Works,"545/2, 3rd Main, Peenya, Bengaluru, 560058",560058,YJDHV1088C,29YJDHV1088C7ZN,BBMP,new textiles works,"545 2, 3rd main, peenya, bangalore, 560058",True,True,YJDHV1088C,29YJDHV1088C7ZN
BBMP/560100/0080,Venkateshwara Fabrics & Co,"882/1, Industrial Road, Kudlu Gate, Bengaluru, B'lore",560100,CKSAD6680C,29CKSAD6680C7ZM,BBMP,company fabrics venkateshwara,"882 1, industrial road, kudlu gate, bangalore, bangalore",True,True,CKSAD6680C,29CKSAD6680C7ZM
BBMP/560058/0081,Venkateshwara Paper Factory,"570/1, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,WUBCK3882U,29WUBCK3882U2ZR,BBMP,factory paper venkateshwara,"570 1, 3rd main, peenya 2nd stage, bangalore, 560058",True,True,WUBCK3882U,29WUBCK3882U2ZR
BBMP/560100/0083,JSW Motors Co,"183/2, Ring Road, Kudlu Gate, Bengaluru, 560100",560100,RTVPT9592M,,BBMP,company jsw motors,"183 2, ring road, kudlu gate, bangalore, 560100",True,False,RTVPT9592M,
BBMP/560100/0084,Indian Textiles Pvt Ltd,"Ring Road, Electronic City Phase 2, Bengaluru, 560100",560100,DESHS7714O,,BBMP,indian limited private textiles,"ring road, electronic city phase 2, bangalore, 560100",True,False,DESHS7714O,
BBMP/560058/0086,Steel Srinivasa Works,"111/9, Service Road, Peenya Industrial Area, Bengaluru, B'lore",560058,NNZPN0836X,,BBMP,srinivasa steel works,"111 9, service road, peenya industrial area, bangalore, bangalore",True,False,NNZPN0836X,
BBMP/560100/0089,Foundry Sunrise Manufacturers,"Main Road, Neeladri Nagar, Bengaluru, 560100",560100,KBRFB0476M,29KBRFB0476M9Z7,BBMP,foundry manufacturers sunrise,"main road, neeladri nagar, bangalore, 560100",True,True,KBRFB0476M,29KBRFB0476M9Z7
BBMP/560100/0090,Bengaluru Auto Parts Group,"997/8, Main Road, Electronic City Phase 2, Bengaluru, B'lore",560100,JIEFC7350M,29JIEFC7350M6ZK,BBMP,auto bangalore group parts,"997 8, main road, electronic city phase 2, bangalore, bangalore",True,True,JIEFC7350M,29JIEFC7350M6ZK
BBMP/560058/0091,Steel Premier Traders,"472/5, 3rd Main, BEL Road, Bengaluru, 560058",560058,XMEAA6788E,,BBMP,premier steel traders,"472 5, 3rd main, bel road, bangalore, 560058",True,False,XMEAA6788E,
BBMP/560058/0094,Modern Electronics Manufacturers,"799/8, 2nd Cross, Yeshwanthpur, Bengaluru, 560058",560058,NFDAD1933E,29NFDAD1933E2Z4,BBMP,electronics manufacturers modern,"799 8, 2nd cross, yeshwanthpur, bangalore, 560058",True,True,NFDAD1933E,29NFDAD1933E2Z4
BBMP/560100/0095,Steel Mahalaxmi Co,"688/3, Service Road, Bommanahalli, Bengaluru, B'lore",560100,AAMHD2913R,,BBMP,company mahalaxmi steel,"688 3, service road, bommanahalli, bangalore, bangalore",True,False,AAMHD2913R,
BBMP/560058/0096,United Plastics Pvt Ltd,"638/9, Cross Road, Peenya, Bengaluru, B'lore",560058,WRXCP4155S,29WRXCP4155S3ZO,BBMP,limited plastics private united,"638 9, cross road, peenya, bangalore, bangalore",True,True,WRXCP4155S,29WRXCP4155S3ZO
BBMP/560100/0097,Fabrics Premier Inds,"Service Road, Hosur Road, Bengaluru, 560100",560100,HSKPQ8438N,29HSKPQ8438N8ZX,BBMP,fabrics industries premier,"service road, hosur road, bangalore, 560100",True,True,HSKPQ8438N,29HSKPQ8438N8ZX
BBMP/560058/0098,New Paints Factory,"73/4, Main Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,AZUCL4428N,29AZUCL4428N6ZU,BBMP,factory new paints,"73 4, main road, peenya 2nd stage, bangalore, bangalore",True,True,AZUCL4428N,29AZUCL4428N6ZU
BBMP/560100/0099,Valves Bangalore Ltd,"237/9, Ring Road, Kudlu Gate, Bengaluru, 560100",560100,FADPU2374K,29FADPU2374K5ZV,BBMP,bangalore limited valves,"237 9, ring road, kudlu gate, bangalore, 560100",True,True,FADPU2374K,29FADPU2374K5ZV
BBMP/560100/0100,Sri Motors Group,"57/4, Factory Road, Neeladri Nagar, Bengaluru, B'lore",560100,FYGCE0221E,,BBMP,group motors sri,"57 4, factory road, neeladri nagar, bangalore, bangalore",True,False,FYGCE0221E,
BBMP/560058/0101,Furniture Infosys Ltd,"77/8, 1st Cross, Peenya Industrial Area, Bengaluru, 560058",560058,CBVPG2555R,29CBVPG2555R1ZK,BBMP,furniture infosys limited,"77 8, 1st cross, peenya industrial area, bangalore, 560058",True,True,CBVPG2555R,29CBVPG2555R1ZK
BBMP/560058/0102,Sunrise Ceramics Factory,"3rd Main, Yeshwanthpur, Bengaluru, 560058",560058,CUZPW1665L,29CUZPW1665L2Z9,BBMP,ceramics factory sunrise,"3rd main, yeshwanthpur, bangalore, 560058",True,True,CUZPW1665L,29CUZPW1665L2Z9
BBMP/560058/0103,New Auto Parts & Co,"192/8, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,PDBCX2128Q,,BBMP,auto company new parts,"192 8, 3rd main, peenya 2nd stage, bangalore, 560058",True,False,PDBCX2128Q,
BBMP/560058/0104,Venkateshwara Garments & Co,"2nd Cross, Peenya, Bengaluru, B'lore",560058,QZHCM8724I,,BBMP,company garments venkateshwara,"2nd cross, peenya, bangalore, bangalore",True,False,QZHCM8724I,
BBMP/560100/0105,Engineering Mphasis Enterprises,"Cross Road, Electronic City Phase 1, Bengaluru, 560100",560100,PXMAY2389L,29PXMAY2389L6ZV,BBMP,engineering enterprises mphasis,"cross road, electronic city phase 1, bangalore, 560100",True,True,PXMAY2389L,29PXMAY2389L6ZV
BBMP/560100/0106,Premier Foundry Ltd,"1st Cross, Electronic City Phase 2, Bengaluru, B'lore",560100,,,BBMP,foundry limited premier,"1st cross, electronic city phase 2, bangalore, bangalore",False,False,,
BBMP/560100/0107,Balaji Electricals Co,"537/1, Main Road, Electronic City Phase 1, Bengaluru, 560100",560100,CULPV9744X,29CULPV9744X8ZT,BBMP,balaji company electricals,"537 1, main road, electronic city phase 1, bangalore, 560100",True,True,CULPV9744X,29CULPV9744X8ZT
BBMP/560058/0109,Venkateshwara Plastics Corporation,"Main Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,KSZHZ2501M,29KSZHZ2501M2Z2,BBMP,corporation plastics venkateshwara,"main road, peenya 2nd stage, bangalore, bangalore",True,True,KSZHZ2501M,29KSZHZ2501M2Z2
BBMP/560058/0110,Global Chemicals International,"2nd Cross, Yeshwanthpur, Bengaluru, B'lore",560058,SVIFH8267K,,BBMP,chemicals global international,"2nd cross, yeshwanthpur, bangalore, bangalore",True,False,SVIFH8267K,
BBMP/560100/0111,Indian Rubber Ent,"775/8, Industrial Road, Kudlu Gate, Bengaluru, B'lore",560100,UXRFV7913N,,BBMP,enterprises indian rubber,"775 8, industrial road, kudlu gate, bangalore, bangalore",True,False,UXRFV7913N,
BBMP/560100/0112,Foundry Janatha Co,"Main Road, Electronic City Phase 2, Bengaluru, 560100",560100,SDRFS1222A,,BBMP,company foundry janatha,"main road, electronic city phase 2, bangalore, 560100",True,False,SDRFS1222A,
BBMP/560100/0113,Engineering Shree International,"27/6, 2nd Cross, Kudlu Gate, Bengaluru, 560100",560100,YHFCS7511N,29YHFCS7511N6ZP,BBMP,engineering international shree,"27 6, 2nd cross, kudlu gate, bangalore, 560100",True,True,YHFCS7511N,29YHFCS7511N6ZP
BBMP/560100/0116,Global Textiles Pvt.Ltd,"Ring Road, Neeladri Nagar, Bengaluru, 560100",560100,YKUCC1666J,29YKUCC1666J1Z8,BBMP,global limited private textiles,"ring road, neeladri nagar, bangalore, 560100",True,True,YKUCC1666J,29YKUCC1666J1Z8
BBMP/560100/0121,Venkateshwara Foods & Co,"2nd Cross, Bommanahalli, Bengaluru, 560100",560100,SBQPF8393J,,BBMP,company foods venkateshwara,"2nd cross, bommanahalli, bangalore, 560100",True,False,SBQPF8393J,
BBMP/560100/0122,Mphasis Foods Indus,"Service Road, Hosur Road, Bengaluru, 560100",560100,GIJFV9678H,,BBMP,foods industries mphasis,"service road, hosur road, bangalore, 560100",True,False,GIJFV9678H,
BBMP/560058/0123,Titan Ceramics Pvt. Ltd.,"793/8, Factory Road, Peenya Industrial Area, Bengaluru, 560058",560058,NFTPE2037L,29NFTPE2037L8ZY,BBMP,ceramics limited private titan,"793 8, factory road, peenya industrial area, bangalore, 560058",True,True,NFTPE2037L,29NFTPE2037L8ZY
BBMP/560100/0124,Premier Fabrics Manufacturers,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,WEPCJ2257Y,29WEPCJ2257Y3Z5,BBMP,fabrics manufacturers premier,"industrial road, neeladri nagar, bangalore, 560100",True,True,WEPCJ2257Y,29WEPCJ2257Y3Z5
BBMP/560058/0125,Electricals JSW & Co,"2nd Cross, BEL Road, Bengaluru, 560058",560058,EGQPU6612I,29EGQPU6612I9ZF,BBMP,company electricals jsw,"2nd cross, bel road, bangalore, 560058",True,True,EGQPU6612I,29EGQPU6612I9ZF
BBMP/560100/0126,Star Chemicals Pvt Ltd,"Factory Road, Hosur Road, Bengaluru, 560100",560100,CJSCD3032G,29CJSCD3032G3ZN,BBMP,chemicals limited private star,"factory road, hosur road, bangalore, 560100",True,True,CJSCD3032G,29CJSCD3032G3ZN
BBMP/560100/0127,Srinivasa Electricals Ltd,"246/5, Industrial Road, Electronic City Phase 1, Bengaluru, 560100",560100,QOHPW4096M,29QOHPW4096M5ZT,BBMP,electricals limited srinivasa,"246 5, industrial road, electronic city phase 1, bangalore, 560100",True,True,QOHPW4096M,29QOHPW4096M5ZT
BBMP/560100/0128,New Electricals Pvt Ltd,"Factory Road, Kudlu Gate, Bengaluru, 560100",560100,EIGHD3711Z,,BBMP,electricals limited new private,"factory road, kudlu gate, bangalore, 560100",True,False,EIGHD3711Z,
BBMP/560100/0129,Engineering Sri Ltd,"1st Cross, Electronic City Phase 1, Bengaluru, 560100",560100,IGOAG5369R,29IGOAG5369R9ZV,BBMP,engineering limited sri,"1st cross, electronic city phase 1, bangalore, 560100",True,True,IGOAG5369R,29IGOAG5369R9ZV
BBMP/560058/0131,Raghavendra Pipes Traders,"Ring Road, Peenya 2nd Stage, Bengaluru, 560058",560058,EPHAS1025O,,BBMP,pipes raghavendra traders,"ring road, peenya 2nd stage, bangalore, 560058",True,False,EPHAS1025O,
BBMP/560100/0136,Peoples Motors Traders,"813/8, Factory Road, Electronic City Phase 2, Bengaluru, 560100",560100,,,BBMP,motors peoples traders,"813 8, factory road, electronic city phase 2, bangalore, 560100",False,False,,
BBMP/560058/0137,Lakshmi Motors Private Limited,"Industrial Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,EVBHS8529O,29EVBHS8529O5Z3,BBMP,lakshmi limited motors private,"industrial road, rajajinagar industrial estate, bangalore, bangalore",True,True,EVBHS8529O,29EVBHS8529O5Z3
BBMP/560058/0138,Titan Beverages & Co,"1st Cross, Peenya 2nd Stage, Bengaluru, 560058",560058,EPCCS4972X,29EPCCS4972X9Z7,BBMP,beverages company titan,"1st cross, peenya 2nd stage, bangalore, 560058",True,True,EPCCS4972X,29EPCCS4972X9Z7
BBMP/560058/0139,Bangalore Engineering Factory,"149/3, 2nd Cross, Rajajinagar Industrial Estate, Bengaluru, B'lore",560058,,,BBMP,bangalore engineering factory,"149 3, 2nd cross, rajajinagar industrial estate, bangalore, bangalore",False,False,,
BBMP/560100/0140,JSW Foods Entp,"Industrial Road, Bommanahalli, Bengaluru, 560100",560100,YTCFC4758G,,BBMP,enterprises foods jsw,"industrial road, bommanahalli, bangalore, 560100",True,False,YTCFC4758G,
BBMP/560058/0141,Sri Motors Co,"930/9, Service Road, Peenya, Bengaluru, B'lore",560058,YOFAB2385T,,BBMP,company motors sri,"930 9, service road, peenya, bangalore, bangalore",True,False,YOFAB2385T,
BBMP/560100/0142,Star Pumps Traders,"Cross Road, Kudlu Gate, Bengaluru, B'lore",560100,YFVAV6712X,29YFVAV6712X5ZN,BBMP,pumps star traders,"cross road, kudlu gate, bangalore, bangalore",True,True,YFVAV6712X,29YFVAV6712X5ZN
BBMP/560058/0143,Cables Indian Factory,"Ring Road, Peenya 1st Stage, Bengaluru, 560058",560058,JYEHU7391X,29JYEHU7391X3Z6,BBMP,cables factory indian,"ring road, peenya 1st stage, bangalore, 560058",True,True,JYEHU7391X,29JYEHU7391X3Z6
BBMP/560058/0145,Global Plastics Traders,"2nd Cross, BEL Road, Bengaluru, 560058",560058,SAZAO9133G,29SAZAO9133G4ZN,BBMP,global plastics traders,"2nd cross, bel road, bangalore, 560058",True,True,SAZAO9133G,29SAZAO9133G4ZN
