pf_code,establishment_name,employer_name,industry_class,address,district,pin_code,pan,gstin,esi_code,coverage_date,num_employees,wages_month,mobile,email,nic_code
KR/BN/00021/000,Karnataka Valves International,M/s Karnataka Valves International,Textile,"306/4, Factory Road, Peenya 1st Stage, Bengaluru, 560058",Bengaluru Urban,560058,,,ESI0000021,1996-12-14,182,3377571.0,,,1311
KR/BN/00023/000,Garments Wipro Pvt Ltd,Shri Garments Wipro Pvt Ltd,Food Processing,"300/6, Service Road, Peenya 2nd Stage, Bengaluru, B'lore",Bengaluru Urban,560058,SUCHR2631F,,ESI0000023,2011-08-22,405,9622052.0,9609862077,,1079
KR/BN/00024/000,Foods Mahalaxmi Group,M/s Foods Mahalaxmi Group,Chemicals,"Cross Road, Electronic City Phase 1, Bengaluru, B'lore",Bengaluru Urban,560100,KPPHT6294E,,ESI0000024,2013-05-09,299,3527745.0,,,2011
KR/BN/00026/000,Mphasis Motors Group,M/s Mphasis Motors Group,Food Processing,"980/3, Service Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Bengaluru Urban,560058,UNBHA8794U,29UNBHA8794U8ZV,,1995-01-01,226,2373143.0,9103353542,,1079
KR/BN/00028/000,Star Chemicals Factory,Smt Star Chemicals Factory,Packaging,"Main Road, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,SGXPW8182K,29SGXPW8182K7ZA,ESI0000028,2010-11-19,174,1462053.0,,,1709
KR/BN/00029/000,JSW Paper Private Limited,Shri JSW Paper Private Limited,Food Processing,"3rd Main, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,FDRFK7532C,,ESI0000029,1994-09-25,400,5851925.0,,,1079
KR/BN/00030/000,Garments Star Pvt.Ltd,M/s Garments Star Pvt.Ltd,Textile,"747/5, Factory Road, BEL Road, Bengaluru, 560058",Bengaluru Urban,560058,AEOAU4842F,,ESI0000030,2021-02-01,144,1924502.0,9842064252,,1311
KR/BN/00033/000,Pharmaceuticals Srinivasa Group,M/s Pharmaceuticals Srinivasa Group,Auto Components,"15/8, Ring Road, Kudlu Gate, Bengaluru, B'lore",Bengaluru Urban,560100,,,ESI0000033,2021-01-09,344,7152670.0,,,2930
KR/BN/00035/000,United Plastics Enterprises,Smt United Plastics Enterprises,Textile,"1st Cross, BEL Road, Bengaluru, 560058",Bengaluru Urban,560058,URRAE0940J,29URRAE0940J5ZF,ESI0000035,2003-12-16,68,909797.0,,,1311
KR/BN/00039/000,Karnataka Electricals Pvt Ltd,M/s Karnataka Electricals Pvt Ltd,Food Processing,"603/5, Cross Road, Peenya 1st Stage, Bengaluru, B'lore",Bengaluru Urban,560058,,,ESI0000039,2018-04-21,534,7468574.0,,,1079
KR/BN/00041/000,Sri Fabrics Factory,Smt Sri Fabrics Factory,Paper Printing,"370/3, 1st Cross, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,JWYFK3262T,,ESI0000041,2003-06-26,492,10322088.0,9234392145,,1701
KR/BN/00042/000,National Foundry Limited,Shri National Foundry Limited,Textile,"790/7, Main Road, Electronic City Phase 2, Bengaluru, B'lore",Bengaluru Urban,560100,NODAY5513E,29NODAY5513E9Z6,ESI0000042,1992-09-10,449,8620893.0,,,1311
KR/BN/00044/000,Venkateshwara Printing Traders,M/s Venkateshwara Printing Traders,Packaging,"3rd Main, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,XVUPE2503Q,29XVUPE2503Q4ZZ,ESI0000044,2000-12-10,447,5404733.0,,,1709
KR/BN/00045/000,Mphasis Auto Parts Limited,Smt Mphasis Auto Parts Limited,Packaging,"3rd Main, Peenya 2nd Stage, Bengaluru, B'lore",Bengaluru Urban,560058,FNNPO6402C,29FNNPO6402C7ZU,,2014-11-19,82,794082.0,9341588930,,1709
KR/BN/00046/000,Premier Cables Factory,M/s Premier Cables Factory,Engineering,"Factory Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,AIICI3223Z,29AIICI3223Z3Z1,ESI0000046,2021-10-14,530,6564216.0,9725415069,,2819
KR/BN/00049/000,Bengaluru Leather Group,Smt Bengaluru Leather Group,Auto Components,"1/3, Main Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Bengaluru Urban,560058,ILVPY3832X,,,1999-06-06,636,7028311.0,9276212961,,2930
KR/BN/00050/000,Balaji Pipes Pvt. Ltd.,Shri Balaji Pipes Pvt. Ltd.,Chemicals,"294/2, Main Road, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,WNHAD9411L,29WNHAD9411L6ZW,ESI0000050,2006-04-27,78,1853072.0,,,2011
KR/BN/00053/000,Venkateshwara Beverages Works,Smt Venkateshwara Beverages Works,Packaging,"358/8, Factory Road, Peenya 1st Stage, Bengaluru, 560058",Bengaluru Urban,560058,DKLFM4838Z,29DKLFM4838Z9ZE,,1996-05-15,569,6953414.0,,,1709
KR/BN/00054/000,Pharmaceuticals National Limited,Smt Pharmaceuticals National Limited,Pharmaceuticals,"267/3, Factory Road, Electronic City Phase 2, Bengaluru, B'lore",Bengaluru Urban,560100,BYRHG7884M,,ESI0000054,2010-06-07,242,3624668.0,9594672969,,2100
KR/BN/00057/000,Titan Fabrics Traders,M/s Titan Fabrics Traders,Pharmaceuticals,"393/6, Ring Road, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,EMDFD5949F,29EMDFD5949F8ZY,ESI0000057,2002-06-27,615,10732613.0,9115357325,,2100
KR/BN/00058/000,JSW Ceramics Traders,Smt JSW Ceramics Traders,Paper Printing,"Industrial Road, Neeladri Nagar, Bengaluru, B'lore",Bengaluru Urban,560100,VRUCA8003B,,ESI0000058,1998-10-15,661,15749753.0,,,1701
KR/BN/00059/000,JSW Ceramics Private Limited,Shri JSW Ceramics Private Limited,Textile,"Main Road, Peenya 2nd Stage, Bengaluru, 560058",Bengaluru Urban,560058,ECBAI8788O,29ECBAI8788O6ZK,,2013-06-06,259,3414458.0,9424418936,,1311
KR/BN/00060/000,Sunrise Plastics Co,M/s Sunrise Plastics Co,Rubber Plastics,"Industrial Road, Peenya Industrial Area, Bengaluru, 560058",Bengaluru Urban,560058,BDRHW2159P,,ESI0000060,1991-10-02,429,10247948.0,9265865260,,2219
KR/BN/00065/000,Bengaluru Beverages Industries,M/s Bengaluru Beverages Industries,Rubber Plastics,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Bengaluru Urban,560058,WESFV6700Y,29WESFV6700Y8ZK,ESI0000065,1993-10-09,399,8386103.0,,,2219
KR/BN/00066/000,Karnataka Chemicals Traders,Shri Karnataka Chemicals Traders,Pharmaceuticals,"822/5, Industrial Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,XKWAN6048O,29XKWAN6048O9ZM,,2012-12-16,743,11982983.0,9299790139,,2100
KR/BN/00067/000,Janatha Pharmaceuticals Pvt Ltd,Smt Janatha Pharmaceuticals Pvt Ltd,Engineering,"40/5, Cross Road, Electronic City Phase 2, Bengaluru, B'lore",Bengaluru Urban,560100,ZGDHS6725E,29ZGDHS6725E1ZM,,2013-06-06,260,5695567.0,9218290362,,2819
KR/BN/00068/000,Plastics Mahalaxmi Entp,Smt Plastics Mahalaxmi Entp,Textile,"Factory Road, Peenya 2nd Stage, Bengaluru, B'lore",Bengaluru Urban,560058,CLOAX0878Q,29CLOAX0878Q2ZN,ESI0000068,2001-12-06,255,5158767.0,9818935880,,1311
KR/BN/00069/000,Garments Peoples Manufacturers,Shri Garments Peoples Manufacturers,Engineering,"835/4, Factory Road, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,DXHCH9984T,29DXHCH9984T1Z7,ESI0000069,1997-04-03,576,12537524.0,9474354884,,2819
KR/BN/00071/000,United Chemicals Traders,M/s United Chemicals Traders,Pharmaceuticals,"2nd Cross, Neeladri Nagar, Bengaluru, B'lore",Bengaluru Urban,560100,GPLCP2847P,,ESI0000071,2019-02-18,502,8344141.0,,,2100
KR/BN/00072/000,Karnataka Electricals Corporation,Smt Karnataka Electricals Corporation,Food Processing,"Ring Road, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,WUOFJ1069M,,,2015-03-27,503,11035271.0,9774624116,,1079
KR/BN/00074/000,Engg Indian Manufacturers,Shri Engg Indian Manufacturers,Food Processing,"117/7, Industrial Road, Neeladri Nagar, Bengaluru, B'lore",Bengaluru Urban,560100,EYMPE4758W,29EYMPE4758W9ZQ,ESI0000074,2002-10-06,209,2569902.0,,,1079
KR/BN/00075/000,KS Valves Manufacturers,M/s KS Valves Manufacturers,Auto Components,"910/9, Factory Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Bengaluru Urban,560058,AGCHY1961Z,,,2001-03-08,709,17477048.0,,,2930
KR/BN/00077/000,Bengaluru Rubber Traders,M/s Bengaluru Rubber Traders,Rubber Plastics,"Factory Road, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,VVVPO8466C,,ESI0000077,1993-03-25,616,9562980.0,,,2219
KR/BN/00078/000,Chemicals Modern Co,Smt Chemicals Modern Co,Packaging,"880/1, 1st Cross, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,,,ESI0000078,2017-04-09,421,8502758.0,,,1709
KR/BN/00079/000,New Textiles Works,Shri New Textiles Works,Electronics,"545/2, 3rd Main, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,YJDHV1088C,,,1995-07-11,298,3103022.0,9671494630,,2630
KR/BN/00080/000,Fabrics Venkateshwara & Co,Shri Fabrics Venkateshwara & Co,Chemicals,"882/1, Industrial Road, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,CKSAD6680C,29CKSAD6680C7ZM,ESI0000080,2000-07-11,209,1781492.0,9992363246,,2011
KR/BN/00082/000,Raghavendra Garments Factory,Smt Raghavendra Garments Factory,Packaging,"1st Cross, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,,,,2016-11-23,653,14466949.0,,,1709
KR/BN/00083/000,Motors JSW Co,Shri Motors JSW Co,Electronics,"183/2, Ring Road, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,RTVPT9592M,29RTVPT9592M3ZN,ESI0000083,2003-05-11,303,6894328.0,,,2630
KR/BN/00086/000,Steel Srinivasa Works,Smt Steel Srinivasa Works,Food Processing,"Service Road, Peenya Industrial Area, Bengaluru, B'lore",Bengaluru Urban,560058,NNZPN0836X,,ESI0000086,2017-06-01,664,10006572.0,,,1079
KR/BN/00087/000,Ceramics Shree Works,Smt Ceramics Shree Works,Packaging,"2nd Cross, Peenya, Bengaluru, B'lore",Bengaluru Urban,560058,,,ESI0000087,2004-09-18,12,136862.0,,,1709
KR/BN/00088/000,Star Leather Manufacturers,Smt Star Leather Manufacturers,Chemicals,"Main Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,GCXCK1085Z,29GCXCK1085Z9ZH,ESI0000088,2017-09-20,275,3233910.0,,,2011
KR/BN/00092/000,Sri Valves Industries,Shri Sri Valves Industries,Paper Printing,"2nd Cross, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,WKPFK4090V,,,1991-09-05,773,18421731.0,9742814410,,1701
KR/BN/00093/000,Pipes Royal Group,M/s Pipes Royal Group,Auto Components,"166/7, 1st Cross, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,QYOFR4715Q,29QYOFR4715Q9ZV,ESI0000093,1996-11-10,598,14299294.0,,,2930
KR/BN/00095/000,Steel Mahalaxmi Co,Smt Steel Mahalaxmi Co,Pharmaceuticals,"688/3, Service Road, Bommanahalli, Bengaluru, B'lore",Bengaluru Urban,560100,AAMHD2913R,,ESI0000095,2007-05-17,680,15612932.0,,,2100
KR/BN/00099/000,Bangalore Valves Ltd,M/s Bangalore Valves Ltd,Textile,"237/9, Ring Road, Kudlu Gate, Bengaluru, B'lore",Bengaluru Urban,560100,FADPU2374K,,,2010-01-20,54,1008310.0,9953855361,,1311
KR/BN/00102/000,Sunrise Ceramics Factory,Smt Sunrise Ceramics Factory,Food Processing,"288/6, 3rd Main, Yeshwanthpur, Bengaluru, 560058",Bengaluru Urban,560058,CUZPW1665L,29CUZPW1665L2Z9,ESI0000102,2008-02-23,113,2495248.0,,,1079
KR/BN/00103/000,New Auto Parts & Co,M/s New Auto Parts & Co,Rubber Plastics,"192/8, 3rd Main, Peenya 2nd Stage, Bengaluru, 560058",Bengaluru Urban,560058,PDBCX2128Q,,ESI0000103,2001-04-28,711,11135036.0,9780161556,,2219
KR/BN/00104/000,Venkateshwara Garments & Co,Smt Venkateshwara Garments & Co,Electronics,"991/5, 2nd Cross, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,QZHCM8724I,,ESI0000104,2014-03-10,765,6885183.0,,,2630
KR/BN/00107/000,Balaji Electricals Co,Shri Balaji Electricals Co,Packaging,"537/1, Main Road, Electronic City Phase 1, Bengaluru, 560100",Bengaluru Urban,560100,CULPV9744X,29CULPV9744X8ZT,ESI0000107,2021-12-22,18,333012.0,,,1709
KR/BN/00108/000,Mphasis Textiles International,Smt Mphasis Textiles International,Food Processing,"Main Road, Electronic City Phase 2, Bengaluru, 560100",Bengaluru Urban,560100,EUXCN2550J,29EUXCN2550J2ZX,ESI0000108,2015-08-06,522,4438860.0,,,1079
KR/BN/00110/000,Global Chemicals International,Smt Global Chemicals International,Electronics,"2nd Cross, Yeshwanthpur, Bengaluru, B'lore",Bengaluru Urban,560058,SVIFH8267K,,ESI0000110,1991-03-18,524,11413158.0,9971792567,,2630
KR/BN/00111/000,Indian Rubber Enterprises,M/s Indian Rubber Enterprises,Electronics,"775/8, Industrial Road, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,UXRFV7913N,,ESI0000111,1997-04-14,605,6315119.0,9336861149,,2630
KR/BN/00113/000,Shree Engineering International,M/s Shree Engineering International,Textile,"2nd Cross, Kudlu Gate, Bengaluru, 560100",Bengaluru Urban,560100,YHFCS7511N,29YHFCS7511N6ZP,,2017-04-27,201,4623185.0,9187811297,,1311
KR/BN/00114/000,Sri Beverages Ltd,Shri Sri Beverages Ltd,Packaging,"486/2, Cross Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,BSFPX3630G,29BSFPX3630G9ZF,ESI0000114,2003-05-24,798,15757726.0,,,1709
KR/BN/00117/000,Peoples Electricals Limited,Shri Peoples Electricals Limited,Electronics,"377/5, 2nd Cross, Peenya 2nd Stage, Bengaluru, B'lore",Bengaluru Urban,560058,MKEAS0409R,,,2015-05-06,143,2663453.0,,,2630
KR/BN/00118/000,Venkateshwara Foods International,M/s Venkateshwara Foods International,Engineering,"698/6, Industrial Road, Electronic City Phase 1, Bengaluru, 560100",Bengaluru Urban,560100,QDVAW2785Q,29QDVAW2785Q6ZY,,1991-04-15,359,8607785.0,9404847347,,2819
KR/BN/00119/000,Venkateshwara Steel Entp,Smt Venkateshwara Steel Entp,Pharmaceuticals,"Ring Road, Kudlu Gate, Bengaluru, B'lore",Bengaluru Urban,560100,SGAFE2840H,,ESI0000119,2016-12-13,647,8642484.0,9762616651,,2100
KR/BN/00121/000,Venkateshwara Foods & Co,Smt Venkateshwara Foods & Co,Packaging,"22/4, 2nd Cross, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,SBQPF8393J,,,2006-06-16,537,11797585.0,,,1709
KR/BN/00124/000,Premier Fabrics Manufacturers,M/s Premier Fabrics Manufacturers,Rubber Plastics,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,WEPCJ2257Y,29WEPCJ2257Y3Z5,ESI0000124,2018-02-20,294,5226663.0,9117741864,,2219
KR/BN/00126/000,Star Chemicals Pvt Ltd,Smt Star Chemicals Pvt Ltd,Engineering,"976/6, Factory Road, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,CJSCD3032G,29CJSCD3032G3ZN,,2015-12-19,581,10645955.0,9642103475,,2819
KR/BN/00129/000,Sri Eng Ltd,M/s Sri Eng Ltd,Chemicals,"1st Cross, Electronic City Phase 1, Bengaluru, B'lore",Bengaluru Urban,560100,IGOAG5369R,,,2003-11-14,227,2867919.0,9720615587,,2011
KR/BN/00131/000,Pipes Raghavendra Traders,Shri Pipes Raghavendra Traders,Rubber Plastics,"722/3, Ring Road, Peenya 2nd Stage, Bengaluru, B'lore",Bengaluru Urban,560058,EPHAS1025O,29EPHAS1025O5ZJ,ESI0000131,2019-01-17,714,7328792.0,9841709558,,2219
KR/BN/00132/000,Royal Foundry Manufacturers,Smt Royal Foundry Manufacturers,Textile,"3rd Main, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,VXZAF0721T,29VXZAF0721T3Z5,ESI0000132,2004-08-28,429,5025387.0,,,1311
KR/BN/00133/000,Titan Ceramics Group,Shri Titan Ceramics Group,Food Processing,"155/7, Industrial Road, Neeladri Nagar, Bengaluru, B'lore",Bengaluru Urban,560100,WGSAN9202L,29WGSAN9202L6ZH,,2014-01-22,560,5490293.0,,,1079
KR/BN/00134/000,Pumps Southern Ent,M/s Pumps Southern Ent,Textile,"963/2, 3rd Main, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,AYHCL6103Y,29AYHCL6103Y6ZR,ESI0000134,2014-06-01,302,4107714.0,,,1311
KR/BN/00137/000,Motors Lakshmi Pvt Ltd,M/s Motors Lakshmi Pvt Ltd,Food Processing,"449/8, Industrial Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Bengaluru Urban,560058,EVBHS8529O,29EVBHS8529O5Z3,,1996-05-15,214,2408227.0,,,1079
KR/BN/00139/000,Bangalore Engg Factory,M/s Bangalore Engg Factory,Food Processing,"2nd Cross, Rajajinagar Industrial Estate, Bengaluru, 560058",Bengaluru Urban,560058,,,,1993-07-27,636,5835595.0,,,1079
KR/BN/00143/000,Indian Cables Factory,M/s Indian Cables Factory,Food Processing,"421/4, Ring Road, Peenya 1st Stage, Bengaluru, B'lore",Bengaluru Urban,560058,JYEHU7391X,,ESI0000143,2007-10-17,351,4887385.0,,,1079
KR/BN/00145/000,Global Plastics Traders,M/s Global Plastics Traders,Paper Printing,"851/4, 2nd Cross, BEL Road, Bengaluru, 560058",Bengaluru Urban,560058,SAZAO9133G,29SAZAO9133G4ZN,ESI0000145,2017-07-14,353,8123967.0,9193238812,,1701
KR/BN/00146/000,Indian Metals Ent,Shri Indian Metals Ent,Electronics,"Industrial Road, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,RSECP3958F,29RSECP3958F1Z7,,2013-03-05,251,3422868.0,,,2630
KR/BN/00148/000,Star Auto Parts Private Limited,M/s Star Auto Parts Private Limited,Pharmaceuticals,"Factory Road, Yeshwanthpur, Bengaluru, B'lore",Bengaluru Urban,560058,XXIAE3063Q,29XXIAE3063Q2ZJ,,2000-04-20,157,3354452.0,9720703738,,2100
KR/BN/00149/000,Mahalaxmi Ceramics Group,Shri Mahalaxmi Ceramics Group,Chemicals,"Service Road, Peenya, Bengaluru, 560058",Bengaluru Urban,560058,IGYFP2969N,29IGYFP2969N2ZO,ESI0000149,2008-12-07,388,3272397.0,,,2011
KR/BN/00150/000,New Beverages Pvt Ltd,Smt New Beverages Pvt Ltd,Engineering,"3rd Main, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,WGUHK0463Q,29WGUHK0463Q4ZJ,ESI0000150,2002-05-28,687,6619941.0,,,2819
KR/BN/00151/000,Ceramics Infosys Group,Shri Ceramics Infosys Group,Pharmaceuticals,"885/6, Factory Road, Electronic City Phase 2, Bengaluru, 560100",Bengaluru Urban,560100,UJMAN5491E,,,2007-06-22,153,3457864.0,9422794932,,2100
KR/BN/00152/000,Metals Janatha Ind,Shri Metals Janatha Ind,Chemicals,"2nd Cross, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,,,ESI0000152,2001-11-10,481,7257476.0,9451639123,,2011
KR/BN/00153/000,Titan Textiles Works,M/s Titan Textiles Works,Paper Printing,"523/4, 2nd Cross, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,,,ESI0000153,2019-07-15,668,16273027.0,9254204074,,1701
KR/BN/00156/000,KS Leather Ltd,M/s KS Leather Ltd,Auto Components,"Main Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,NFOHL6718M,29NFOHL6718M7ZK,,2011-09-04,791,13894227.0,,,2930
KR/BN/00157/000,Shree Metals Traders,Smt Shree Metals Traders,Food Processing,"3rd Main, Electronic City Phase 2, Bengaluru, 560100",Bengaluru Urban,560100,ZXNCZ0106P,29ZXNCZ0106P6Z5,ESI0000157,2006-12-08,315,3123021.0,9763413543,,1079
KR/BN/00158/000,Royal Textiles Group,Smt Royal Textiles Group,Food Processing,"657/7, Cross Road, Rajajinagar Industrial Estate, Bengaluru, B'lore",Bengaluru Urban,560058,ESGHV5033C,,ESI0000158,1995-06-18,350,3026334.0,9410823850,,1079
KR/BN/00159/000,Furniture Southern Manufacturers,Shri Furniture Southern Manufacturers,Auto Components,"595/3, Service Road, Yeshwanthpur, Bengaluru, B'lore",Bengaluru Urban,560058,XLKAQ3652U,,ESI0000159,1998-05-18,590,6484267.0,,,2930
KR/BN/00162/000,United Cables Mfg,Shri United Cables Mfg,Electronics,"Main Road, Neeladri Nagar, Bengaluru, 560100",Bengaluru Urban,560100,HUHCT6502C,29HUHCT6502C9ZV,,1993-04-02,384,3438046.0,,,2630
KR/BN/00166/000,Chemicals JSW & Co,M/s Chemicals JSW & Co,Food Processing,"Main Road, Peenya, Bengaluru, B'lore",Bengaluru Urban,560058,PIPCX4483N,,,2013-04-01,673,7841694.0,9451528901,,1079
KR/BN/00167/000,New Valves Ltd,Shri New Valves Ltd,Electronics,"28/5, Main Road, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,YOFAT2323E,,,2006-10-27,470,5310699.0,,,2630
KR/BN/00170/000,Srinivasa Electricals Private Limited,M/s Srinivasa Electricals Private Limited,Auto Components,"488/3, Industrial Road, Peenya Industrial Area, Bengaluru, B'lore",Bengaluru Urban,560058,KJCFX6444I,,ESI0000170,1992-04-01,648,6147601.0,9810659858,,2930
KR/BN/00172/000,Bangalore Auto Parts Manufacturers,Shri Bangalore Auto Parts Manufacturers,Auto Components,"632/1, Factory Road, Hosur Road, Bengaluru, B'lore",Bengaluru Urban,560100,BHNHY1962K,,,2016-07-09,375,6240417.0,9588755406,,2930
KR/BN/00173/000,Bangalore Garments Works,M/s Bangalore Garments Works,Chemicals,"393/4, Cross Road, Neeladri Nagar, Bengaluru, B'lore",Bengaluru Urban,560100,BYNFE2455S,29BYNFE2455S2ZS,,2008-06-17,730,14743630.0,,,2011
KR/BN/00174/000,Lakshmi Chemicals Factory,M/s Lakshmi Chemicals Factory,Chemicals,"Ring Road, Electronic City Phase 1, Bengaluru, 560100",Bengaluru Urban,560100,JHZAK6074N,,,1997-03-08,202,2790394.0,,,2011
KR/BN/00175/000,Peoples Pumps Ltd,M/s Peoples Pumps Ltd,Rubber Plastics,"750/4, Ring Road, Peenya 1st Stage, Bengaluru, B'lore",Bengaluru Urban,560058,,,ESI0000175,2006-04-18,786,9308853.0,,,2219
KR/BN/00176/000,Global Pharmaceuticals Traders,Smt Global Pharmaceuticals Traders,Engineering,"794/4, Main Road, Yeshwanthpur, Bengaluru, 560058",Bengaluru Urban,560058,NUUAS1897Z,29NUUAS1897Z6ZI,ESI0000176,2003-11-15,84,1064986.0,9301410277,,2819
KR/BN/00177/000,Chemicals Srinivasa Mfrs,M/s Chemicals Srinivasa Mfrs,Textile,"Service Road, Peenya 1st Stage, Bengaluru, 560058",Bengaluru Urban,560058,,,,2000-03-22,506,10034638.0,,,1311
KR/BN/00178/000,Plastics New Ltd,Shri Plastics New Ltd,Textile,"234/2, Ring Road, Bommanahalli, Bengaluru, 560100",Bengaluru Urban,560100,PIHPJ2352S,,ESI0000178,1993-09-23,624,13709203.0,,,1311
KR/BN/00179/000,Infosys Valves Corporation,Shri Infosys Valves Corporation,Paper Printing,"2nd Cross, Hosur Road, Bengaluru, 560100",Bengaluru Urban,560100,FHQFZ0046S,,,2002-06-03,392,6374226.0,,,1701
KR/BN/00180/000,Metals Mahalaxmi Works,M/s Metals Mahalaxmi Works,Chemicals,"571/3, Cross Road, Electronic City Phase 1, Bengaluru, 560100",Bengaluru Urban,560100,IFSFO2642N,,,2013-05-24,751,13957267.0,9619198971,,2011
KR/BN/00184/000,Electronics Wipro Entp,M/s Electronics Wipro Entp,Pharmaceuticals,"399/4, Cross Road, Electronic City Phase 1, Bengaluru, B'lore",Bengaluru Urban,560100,GVNAS6770E,29GVNAS6770E8Z0,,2001-03-25,539,4526818.0,,,2100
KR/BN/00186/000,Textiles Raghavendra Limited,Shri Textiles Raghavendra Limited,Pharmaceuticals,"886/2, Service Road, Peenya Industrial Area, Bengaluru, B'lore",Bengaluru Urban,560058,EINAX3453Z,29EINAX3453Z1ZB,,2008-05-26,41,945851.0,9464311876,,2100
