consumer_no,consumer_name,service_address,pin_code,connection_type,sanctioned_load_kw,connected_load_kw,tariff_category,pan,gstin,connection_date,connection_status,meter_no,mobile
ESCOM/560100/000017,Valves New & Co,"3rd Main, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,263.4,186.1,LT-5,IIDHQ2923D,29IIDHQ2923D5ZF,2013-10-11,SURRENDERED,M83804452,9814205650
ESCOM/560058/000019,Wipro Pumps International,"839/5, Industrial Road, Peenya, Bengaluru, 560058",560058,COMMERCIAL,375.5,290.1,LT-2,CVTFM6093X,,2008-06-10,ACTIVE,M58405348,9232758201
ESCOM/560058/000021,Valves Karnataka International,"306/4, Factory Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,414.0,385.8,LT-4,,,1995-04-04,ACTIVE,M99152237,9433403086
ESCOM/560058/000022,Plastics Infosys Works,"492/9, 1st Cross, BEL Road, Bengaluru, 560058",560058,INDUSTRIAL,92.4,74.5,LT-2,JBICR9988U,29JBICR9988U7ZU,1992-09-28,ACTIVE,M54656527,
ESCOM/560058/000023,Wipro Garments Pvt Ltd,"Service Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,217.2,167.6,LT-3,SUCHR2631F,,2010-07-25,ACTIVE,M93409529,
ESCOM/560100/000024,Mahalaxmi Foods Group,"269/2, Cross Road, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,485.2,347.0,LT-5,KPPHT6294E,,2012-11-08,ACTIVE,M56832065,9239206654
ESCOM/560058/000025,Wipro Furniture Works,"445/7, 1st Cross, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,241.7,190.9,LT-4,,,1998-02-24,ACTIVE,M40282504,9628238511
ESCOM/560058/000026,Mphasis Motors Group,"980/3, Service Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,365.5,308.7,LT-4,UNBHA8794U,29UNBHA8794U8ZV,1994-02-21,DISCONNECTED,M55123620,
ESCOM/560058/000027,Mphasis Pharmaceuticals Corporation,"309/1, Main Road, Peenya 1st Stage, Bengaluru, B'lore",560058,INDUSTRIAL,210.4,140.7,LT-5,OWYCP7238W,29OWYCP7238W6ZN,1991-06-24,ACTIVE,M38340450,9315706014
ESCOM/560100/000028,Chemicals Star Factory,"571/3, Main Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,8.0,6.5,LT-4,SGXPW8182K,29SGXPW8182K7ZA,2009-01-07,ACTIVE,M43457347,9940307277
ESCOM/560100/000029,JSW Paper Private Limited,"569/3, 3rd Main, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,82.6,69.1,LT-1,FDRFK7532C,,1993-06-07,ACTIVE,M66839784,
ESCOM/560058/000030,Star Garments Pvt. Ltd.,"747/5, Factory Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,477.8,359.5,LT-4,AEOAU4842F,29AEOAU4842F3ZU,2020-05-07,ACTIVE,M64579662,9842064252
ESCOM/560100/000031,Mphasis Rubber Mfr,"Main Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,98.5,92.1,LT-3,MJXHK8717R,29MJXHK8717R9Z0,1996-07-11,ACTIVE,M91103212,9732155544
ESCOM/560058/000032,Royal Foods Ind,"219/9, Factory Road, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,457.5,307.4,LT-2,LMVCL9326D,,2002-03-01,DISCONNECTED,M88326827,9329242831
ESCOM/560100/000033,Pharmaceuticals Srinivasa Group,"15/8, Ring Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,58.5,39.7,LT-3,,,2020-10-16,ACTIVE,M47099111,9196830932
ESCOM/560058/000036,Srinivasa Paper Co,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,111.3,86.8,LT-4,,,2002-06-04,ACTIVE,M60056883,
ESCOM/560058/000037,Cables Bengaluru Limited,"Factory Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,39.1,30.5,LT-4,CSACB9280C,,1992-07-23,ACTIVE,M16890175,9232428051
ESCOM/560100/000038,Steel Mphasis Factory,"481/4, Industrial Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,430.7,262.8,LT-1,YJRHV8566B,29YJRHV8566B6ZF,1993-02-02,ACTIVE,M27107363,9218880730
ESCOM/560058/000039,Karnataka Electricals Private Limited,"603/5, Cross Road, Peenya 1st Stage, Bengaluru, B'lore",560058,INDUSTRIAL,385.1,343.2,LT-5,,,2017-03-06,ACTIVE,M72510077,9994574499
ESCOM/560100/000040,Bangalore Furniture Mfr,"551/6, Ring Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,212.5,142.7,LT-2,TUPFD8090T,,1998-11-26,DISCONNECTED,M68578100,
ESCOM/560100/000041,Sri Fabrics Factory,"370/3, 1st Cross, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,142.7,93.2,LT-5,JWYFK3262T,29JWYFK3262T2ZU,2002-07-17,DISCONNECTED,M27955119,9234392145
ESCOM/560100/000042,National Foundry Limited,"Main Road, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,156.0,130.7,LT-2,NODAY5513E,29NODAY5513E9Z6,1991-04-06,ACTIVE,M67014890,
ESCOM/560100/000043,Sunrise Fabrics Manufacturers,"2nd Cross, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,420.2,335.0,LT-4,QDEPH7822P,29QDEPH7822P5ZD,2013-02-20,ACTIVE,M61736393,9818416897
ESCOM/560058/000044,Venkateshwara Printing Traders,"3rd Main, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,449.1,310.1,LT-3,XVUPE2503Q,29XVUPE2503Q4ZZ,1999-03-06,ACTIVE,M60686108,9729928759
ESCOM/560058/000045,Mphasis Auto Parts Limited,"3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,127.8,78.3,LT-6,FNNPO6402C,29FNNPO6402C7ZU,2013-04-07,ACTIVE,M75485012,
ESCOM/560100/000046,Cables Premier Factory,"423/9, Factory Road, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,26.9,21.6,LT-4,AIICI3223Z,29AIICI3223Z3Z1,2020-02-18,SURRENDERED,M31637697,9725415069
ESCOM/560100/000047,Venkateshwara Valves Limited,"198/5, Main Road, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,302.2,281.9,LT-1,PSAAT8411Y,29PSAAT8411Y2ZU,2014-11-03,ACTIVE,M24813575,9585153817
ESCOM/560058/000048,Bengaluru Pumps Ltd,"Industrial Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,194.3,124.3,LT-1,,,2006-12-11,ACTIVE,M15577862,
ESCOM/560058/000049,Bengaluru Leather Group,"Main Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,451.2,414.7,LT-3,ILVPY3832X,,1998-03-28,ACTIVE,M24905015,
ESCOM/560100/000050,Pipes Balaji P Ltd,"Main Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,110.5,99.5,LT-5,WNHAD9411L,29WNHAD9411L6ZW,2005-09-19,ACTIVE,M49179926,9561589758
ESCOM/560100/000051,United Leather Pvt. Ltd.,"69/4, Main Road, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,130.5,95.0,LT-3,NXQFM7143Z,29NXQFM7143Z2Z0,1990-05-18,SURRENDERED,M24785812,9464288848
ESCOM/560100/000052,United Foods Pvt. Ltd.,"977/3, 3rd Main, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,445.2,390.7,LT-6,BUIAN4712N,,2004-06-02,SURRENDERED,M76693865,
ESCOM/560058/000053,Venkateshwara Beverages Works,"358/8, Factory Road, Peenya 1st Stage, Bengaluru, B'lore",560058,INDUSTRIAL,73.9,58.8,LT-1,DKLFM4838Z,29DKLFM4838Z9ZE,1995-03-19,ACTIVE,M44104421,
ESCOM/560100/000054,Pharmaceuticals National Limited,"Factory Road, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,31.5,26.2,LT-3,BYRHG7884M,,2009-03-28,SURRENDERED,M93232173,9594672969
ESCOM/560100/000056,Infosys Leather Ltd,"277/9, 3rd Main, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,310.5,285.0,LT-3,,,2010-11-02,DISCONNECTED,M22580784,9201341177
ESCOM/560100/000057,Titan Fabrics Traders,"393/6, Ring Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,461.5,356.8,LT-1,EMDFD5949F,29EMDFD5949F8ZY,2001-02-23,ACTIVE,M51581684,9115357325
ESCOM/560100/000058,JSW Ceramics Traders,"Industrial Road, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,181.2,126.7,LT-4,VRUCA8003B,29VRUCA8003B2ZK,1997-07-12,ACTIVE,M27114145,9342805375
ESCOM/560058/000060,Plastics Sunrise Co,"Industrial Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,154.9,102.8,LT-2,BDRHW2159P,29BDRHW2159P9Z0,1990-09-26,DISCONNECTED,M29935529,
ESCOM/560100/000061,Infosys Foods Pvt.Ltd,"3rd Main, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,397.3,259.2,LT-4,GKAPJ2823T,29GKAPJ2823T9ZQ,1998-02-15,DISCONNECTED,M89222522,
ESCOM/560100/000062,JSW Cables & Co,"3rd Main, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,338.9,279.6,LT-6,LYSCG4245Z,29LYSCG4245Z3Z8,2003-06-09,ACTIVE,M28182834,
ESCOM/560100/000063,Modern Pumps & Co,"759/2, Factory Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,165.2,149.0,LT-1,NDFCX5498G,29NDFCX5498G6ZT,2005-10-17,ACTIVE,M83866570,9284119123
ESCOM/560058/000064,Wipro Steel P Ltd,"71/3, Service Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,352.4,252.6,LT-1,,,2007-08-05,SURRENDERED,M20113777,9251272309
ESCOM/560058/000065,Beverages Bengaluru Industries,"Ring Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,414.7,300.8,LT-4,WESFV6700Y,29WESFV6700Y8ZK,1992-03-08,ACTIVE,M68300508,
ESCOM/560100/000066,Karnataka Chemicals Traders,"Industrial Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,22.9,13.9,LT-5,XKWAN6048O,29XKWAN6048O9ZM,2011-11-17,ACTIVE,M45565389,9299790139
ESCOM/560100/000067,Pharmaceuticals Janatha P Ltd,"Cross Road, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,31.7,28.8,LT-4,ZGDHS6725E,29ZGDHS6725E1ZM,2012-11-02,ACTIVE,M31796114,
ESCOM/560100/000069,Peoples Garments Mfg,"Factory Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,106.3,90.2,LT-3,DXHCH9984T,29DXHCH9984T1Z7,1996-07-20,ACTIVE,M31396585,9474354884
ESCOM/560058/000070,National Packaging P Ltd,"Industrial Road, Peenya 1st Stage, Bengaluru, 560058",560058,INDUSTRIAL,324.3,201.7,LT-1,JHPAV8101V,29JHPAV8101V4ZZ,2011-03-13,ACTIVE,M19267441,9690539871
ESCOM/560100/000071,Chemicals United Traders,"2nd Cross, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,257.6,232.1,LT-2,GPLCP2847P,,2018-01-16,ACTIVE,M72227520,9832645629
ESCOM/560100/000072,Electricals Karnataka Corporation,"638/9, Ring Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,63.8,55.8,LT-2,WUOFJ1069M,29WUOFJ1069M9ZS,2014-10-19,ACTIVE,M83438660,9774624116
ESCOM/560100/000073,Southern Packaging Ltd,"Factory Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,168.8,106.8,LT-5,WYWAK4556C,29WYWAK4556C7ZK,1991-10-26,ACTIVE,M41490921,9101819022
ESCOM/560100/000074,Eng Indian Manufacturers,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,55.4,43.1,LT-4,EYMPE4758W,29EYMPE4758W9ZQ,2001-09-17,DISCONNECTED,M23232997,
ESCOM/560058/000075,KS Valves Mfg,"Factory Road, Rajajinagar Industrial Estate, Bengaluru, 560058",560058,INDUSTRIAL,436.1,371.5,LT-6,AGCHY1961Z,,2000-06-06,ACTIVE,M88688642,
ESCOM/560058/000076,Furniture Mahalaxmi Factory,"1st Cross, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,395.1,349.2,LT-1,BOIHE6611Z,29BOIHE6611Z7Z5,2003-01-24,ACTIVE,M75391808,
ESCOM/560100/000077,Rubber Bengaluru Traders,"Factory Road, Hosur Road, Bengaluru, 560100",560100,INDUSTRIAL,419.2,300.6,LT-3,VVVPO8466C,,1992-07-11,ACTIVE,M51877993,
ESCOM/560100/000078,Modern Chemicals Co,"1st Cross, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,288.7,177.5,LT-1,,,2016-09-04,ACTIVE,M53440066,
ESCOM/560058/000079,New Textiles Works,"3rd Main, Peenya, Bengaluru, B'lore",560058,INDUSTRIAL,182.0,170.4,LT-2,YJDHV1088C,29YJDHV1088C7ZN,1994-08-08,ACTIVE,M21398992,9671494630
ESCOM/560100/000080,Venkateshwara Fabrics & Co,"882/1, Industrial Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,63.4,58.9,LT-3,CKSAD6680C,29CKSAD6680C7ZM,1999-02-22,ACTIVE,M51069244,
ESCOM/560058/000081,Venkateshwara Paper Factory,"570/1, 3rd Main, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,285.3,172.3,LT-3,WUBCK3882U,29WUBCK3882U2ZR,1998-08-25,SURRENDERED,M29629278,
ESCOM/560058/000082,Raghavendra Garments Factory,"1st Cross, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,320.7,248.1,LT-3,,,2015-05-22,ACTIVE,M23940368,9491620540
ESCOM/560100/000083,Motors JSW Co,"Ring Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,65.5,49.3,LT-3,RTVPT9592M,29RTVPT9592M3ZN,2002-12-10,ACTIVE,M11316903,9328065403
ESCOM/560100/000084,Indian Textiles Pvt. Ltd.,"Ring Road, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,408.4,269.9,LT-6,DESHS7714O,,2000-12-23,ACTIVE,M88952798,9383558165
ESCOM/560100/000085,Paints JSW Private Limited,"Ring Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,5.5,3.6,LT-2,TLKPG0872U,29TLKPG0872U3ZF,2014-09-17,ACTIVE,M75166188,9677843565
ESCOM/560058/000086,Steel Srinivasa Works,"Service Road, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,226.7,178.0,LT-2,NNZPN0836X,,2016-03-05,ACTIVE,M62417385,9657632238
ESCOM/560058/000087,Ceramics Shree Works,"66/1, 2nd Cross, Peenya, Bengaluru, 560058",560058,COMMERCIAL,451.3,308.0,LT-5,,,2003-03-15,ACTIVE,M15268533,9514581805
ESCOM/560100/000088,Star Leather Manufacturers,"Main Road, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,279.0,233.9,LT-6,GCXCK1085Z,29GCXCK1085Z9ZH,2016-05-13,ACTIVE,M18605530,9302780401
ESCOM/560100/000089,Sunrise Foundry Manufacturers,"Main Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,439.7,344.6,LT-1,KBRFB0476M,29KBRFB0476M9Z7,2011-05-06,ACTIVE,M59110141,
ESCOM/560100/000090,Bengaluru Auto Parts Group,"997/8, Main Road, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,155.1,142.4,LT-3,JIEFC7350M,29JIEFC7350M6ZK,2010-02-22,ACTIVE,M61052355,9413501643
ESCOM/560058/000091,Premier Steel Traders,"3rd Main, BEL Road, Bengaluru, 560058",560058,INDUSTRIAL,323.7,301.1,LT-6,XMEAA6788E,,2021-04-16,ACTIVE,M70025338,9752570166
ESCOM/560100/000092,Valves Sri Industries,"2nd Cross, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,192.0,151.8,LT-1,WKPFK4090V,,1990-03-09,ACTIVE,M94620202,9742814410
ESCOM/560058/000093,Royal Pipes Group,"166/7, 1st Cross, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,335.3,275.0,LT-3,QYOFR4715Q,29QYOFR4715Q9ZV,1995-03-06,ACTIVE,M44096844,9410510314
ESCOM/560058/000094,Modern Electronics Manufacturers,"799/8, 2nd Cross, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,384.4,287.8,LT-6,NFDAD1933E,29NFDAD1933E2Z4,2005-11-14,ACTIVE,M62504007,9243529809
ESCOM/560100/000095,Mahalaxmi Steel Co,"Service Road, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,395.7,260.0,LT-5,AAMHD2913R,29AAMHD2913R7ZA,2006-06-20,ACTIVE,M34949351,
ESCOM/560058/000096,Plastics United Pvt.Ltd,"638/9, Cross Road, Peenya, Bengaluru, 560058",560058,INDUSTRIAL,168.9,130.0,LT-4,WRXCP4155S,29WRXCP4155S3ZO,2007-10-09,ACTIVE,M76623117,9412063602
ESCOM/560058/000098,Paints New Factory,"73/4, Main Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,204.9,140.8,LT-2,AZUCL4428N,29AZUCL4428N6ZU,2013-09-01,ACTIVE,M17899249,9671378069
ESCOM/560100/000099,Bangalore Valves Ltd,"Ring Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,226.0,146.7,LT-2,FADPU2374K,29FADPU2374K5ZV,2009-08-27,ACTIVE,M35357873,9953855361
ESCOM/560100/000100,Sri Motors Group,"Factory Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,214.3,184.8,LT-1,FYGCE0221E,29FYGCE0221E5ZW,2010-07-22,SURRENDERED,M34241116,9799220764
ESCOM/560058/000101,Infosys Furniture Ltd,"1st Cross, Peenya Industrial Area, Bengaluru, 560058",560058,INDUSTRIAL,24.8,22.8,LT-4,CBVPG2555R,29CBVPG2555R1ZK,2005-09-13,ACTIVE,M51959106,9153320436
ESCOM/560058/000102,Sunrise Ceramics Factory,"3rd Main, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,135.5,119.7,LT-2,CUZPW1665L,29CUZPW1665L2Z9,2007-04-23,ACTIVE,M41749465,9819739113
ESCOM/560058/000103,Auto New Parts & Co,"3rd Main, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,310.0,242.0,LT-6,PDBCX2128Q,,2000-03-21,ACTIVE,M56444838,9780161556
ESCOM/560058/000104,Garments Venkateshwara & Co,"2nd Cross, Peenya, Bengaluru, B'lore",560058,INDUSTRIAL,196.7,180.0,LT-6,QZHCM8724I,,2013-02-24,ACTIVE,M92183928,
ESCOM/560100/000105,Mphasis Engineering Enterprises,"Cross Road, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,214.7,142.2,LT-5,PXMAY2389L,29PXMAY2389L6ZV,1996-04-05,ACTIVE,M44774103,9435776588
ESCOM/560100/000107,Balaji Electricals Co,"Main Road, Electronic City Phase 1, Bengaluru, B'lore",560100,COMMERCIAL,345.9,228.1,LT-4,CULPV9744X,29CULPV9744X8ZT,2020-04-23,ACTIVE,M32303746,9852035576
ESCOM/560100/000108,Textiles Mphasis International,"Main Road, Electronic City Phase 2, Bengaluru, B'lore",560100,INDUSTRIAL,321.7,256.6,LT-6,EUXCN2550J,29EUXCN2550J2ZX,2014-09-17,ACTIVE,M81004291,
ESCOM/560058/000109,Venkateshwara Plastics Corporation,"176/9, Main Road, Peenya 2nd Stage, Bengaluru, B'lore",560058,INDUSTRIAL,378.4,253.8,LT-3,KSZHZ2501M,29KSZHZ2501M2Z2,1999-06-27,ACTIVE,M34454164,9925939263
ESCOM/560058/000110,Global Chemicals International,"374/6, 2nd Cross, Yeshwanthpur, Bengaluru, B'lore",560058,INDUSTRIAL,349.7,331.4,LT-4,SVIFH8267K,,1990-11-04,ACTIVE,M61101195,9971792567
ESCOM/560100/000111,Indian Rubber Enterp,"Industrial Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,313.4,235.9,LT-6,UXRFV7913N,,1996-06-24,ACTIVE,M74738983,9336861149
ESCOM/560100/000112,Foundry Janatha Co,"156/9, Main Road, Electronic City Phase 2, Bengaluru, 560100",560100,INDUSTRIAL,403.9,249.7,LT-2,SDRFS1222A,29SDRFS1222A3ZX,2001-12-07,ACTIVE,M40748095,
ESCOM/560100/000114,Sri Beverages Ltd,"486/2, Cross Road, Bommanahalli, Bengaluru, 560100",560100,INDUSTRIAL,239.5,215.8,LT-2,BSFPX3630G,29BSFPX3630G9ZF,2002-08-17,ACTIVE,M54535464,9532511555
ESCOM/560058/000115,Titan Paper Ent,"Factory Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,329.3,230.9,LT-2,SXYFV3894U,29SXYFV3894U8ZB,2015-08-23,ACTIVE,M21440685,9531069276
ESCOM/560100/000116,Textiles Global Pvt Ltd,"Ring Road, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,268.4,215.6,LT-5,YKUCC1666J,29YKUCC1666J1Z8,1995-10-12,ACTIVE,M69615333,9520377134
ESCOM/560100/000118,Venkateshwara Foods International,"Industrial Road, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,92.1,55.8,LT-6,QDVAW2785Q,29QDVAW2785Q6ZY,1990-01-08,ACTIVE,M67317462,
ESCOM/560100/000119,Venkateshwara Steel Enterprises,"957/3, Ring Road, Kudlu Gate, Bengaluru, 560100",560100,INDUSTRIAL,323.4,242.9,LT-1,SGAFE2840H,29SGAFE2840H5ZI,2015-05-16,ACTIVE,M27911649,9762616651
ESCOM/560058/000120,Venkateshwara Furniture Traders,"Ring Road, Yeshwanthpur, Bengaluru, 560058",560058,INDUSTRIAL,236.1,207.9,LT-6,QJGHT1959F,29QJGHT1959F2Z5,2004-11-05,SURRENDERED,M61282957,9545774510
ESCOM/560100/000121,Venkateshwara Foods & Co,"22/4, 2nd Cross, Bommanahalli, Bengaluru, B'lore",560100,INDUSTRIAL,386.7,251.1,LT-2,SBQPF8393J,,2005-09-19,ACTIVE,M96109122,9812119109
ESCOM/560100/000122,Foods Mphasis Industries,"276/5, Service Road, Hosur Road, Bengaluru, B'lore",560100,INDUSTRIAL,125.0,108.7,LT-2,GIJFV9678H,,2018-03-25,ACTIVE,M86315735,
ESCOM/560100/000124,Premier Fabrics Mfrs,"Industrial Road, Neeladri Nagar, Bengaluru, 560100",560100,INDUSTRIAL,137.9,84.3,LT-1,WEPCJ2257Y,29WEPCJ2257Y3Z5,2017-02-15,ACTIVE,M67599489,
ESCOM/560058/000125,JSW Electricals & Co,"2nd Cross, BEL Road, Bengaluru, 560058",560058,INDUSTRIAL,471.3,329.5,LT-3,EGQPU6612I,29EGQPU6612I9ZF,1994-04-13,ACTIVE,M92155635,
ESCOM/560100/000127,Srinivasa Electricals Ltd,"246/5, Industrial Road, Electronic City Phase 1, Bengaluru, 560100",560100,INDUSTRIAL,100.2,66.3,LT-4,QOHPW4096M,29QOHPW4096M5ZT,1990-12-16,DISCONNECTED,M57004257,9310872188
ESCOM/560100/000128,Electricals New Private Limited,"807/2, Factory Road, Kudlu Gate, Bengaluru, B'lore",560100,INDUSTRIAL,170.5,128.1,LT-4,EIGHD3711Z,29EIGHD3711Z7ZC,1994-10-25,ACTIVE,M21400975,
ESCOM/560100/000129,Sri Eng Ltd,"507/1, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",560100,INDUSTRIAL,228.1,209.1,LT-5,IGOAG5369R,29IGOAG5369R9ZV,2002-03-10,ACTIVE,M42250248,
ESCOM/560058/000130,United Motors Works,"955/9, Ring Road, BEL Road, Bengaluru, B'lore",560058,INDUSTRIAL,87.6,66.5,LT-6,SHSPJ7110L,29SHSPJ7110L4ZX,2010-06-11,ACTIVE,M53585438,9864957911
ESCOM/560058/000131,Raghavendra Pipes Traders,"722/3, Ring Road, Peenya 2nd Stage, Bengaluru, 560058",560058,INDUSTRIAL,225.4,156.6,LT-5,EPHAS1025O,29EPHAS1025O5ZJ,2018-12-07,ACTIVE,M14343160,9841709558
ESCOM/560100/000133,Ceramics Titan Group,"155/7, Industrial Road, Neeladri Nagar, Bengaluru, B'lore",560100,INDUSTRIAL,434.4,321.7,LT-6,WGSAN9202L,29WGSAN9202L6ZH,2013-04-08,DISCONNECTED,M21445614,
